r_kpc,phi_mid,lap_phi,K_free_phi,V_eff,K_eff_phi
11.061013767209012,0.02364640805299456,0.001160639042054568,-0.001160639042054568,0.039087695160975426,-0.00023635545242708207
11.311264080100123,0.02211141587031211,0.0010377671251697986,-0.0010377671251697986,0.03758392179943967,-0.000206733400225099
11.56151439299124,0.020706457522426305,0.0009301796145984667,-0.0009301796145984667,0.0361315806467651,-0.0001820225747181047
11.811764705882354,0.01941805008976332,0.0008357036099389972,-0.0008357036099389972,0.0347306556461281,-0.00016130199895216045
12.062015018773469,0.018234354073825464,0.0007525121924772091,-0.0007525121924772091,0.03338084672964516,-0.00014383401392476034
12.31226533166458,0.017144944364373724,0.0006790636644028207,-0.0006790636644028207,0.032081607826127345,-0.00012902628310421072
12.562515644555695,0.016140616970897147,0.0006140524165060952,-0.0006140524165060952,0.030832182688758026,-0.00011640196535012614
12.812765957446809,0.015213225356221714,0.0005563690224989672,-0.0005563690224989672,0.029631638212090822,-0.0001055762327043989
13.063016270337922,0.014355541367584155,0.0005050676892769348,-0.0005050676892769348,0.028478895041696508,-9.623773340277329e-05
13.313266583229035,0.013561136683235827,0.0004593395986912024,-0.0004593395986912024,0.027372755389032825,-8.813392146374819e-05
13.56351689612015,0.01282428143163514,0.00041849098876136926,-0.00041849098876136926,0.026311928050753986,-8.105941842956511e-05
13.813767209011264,0.012139857234739242,0.0003819250637187358,-0.0003819250637187358,0.02529505069823458,-7.484675949667681e-05
14.06401752190238,0.011503282407116856,0.00034912700984443914,-0.00034912700984443914,0.024320709552249416,-6.935901952344955e-05
14.314267834793492,0.010910447432113184,0.0003196515404955851,-0.0003196515404955851,0.02338745659221826,-6.448392477535883e-05
14.564518147684606,0.010357659153476565,0.0002931125085481363,-0.0002931125085481363,0.022493824471749538,-6.0129141611624574e-05
14.81476846057572,0.009841592380115017,0.00026917421495103766,-0.00026917421495103766,0.021638339324743683,-5.6218499534297115e-05
15.065018773466834,0.009359247814336788,0.00024754411366358737,-0.00024754411366358737,0.020819531651125253,-5.268895756227777e-05
15.315269086357947,0.008907915389023715,0.00022796667011065806,-0.00022796667011065806,0.020035945470169587,-4.94881631232944e-05
15.56551939924906,0.00848514224382189,0.0002102181756522823,-0.0002102181756522823,0.01928614592390309,-4.657248415285882e-05
15.815769712140176,0.00808870469030104,0.00019410235688705204,-0.00019410235688705204,0.01856872550445569,-4.3905419806248745e-05
16.06602002503129,0.007716583615688492,0.00017944664780413728,-0.00017944664780413728,0.017882309068561864,-4.145631463499505e-05
16.316270337922404,0.007366942857887238,0.00016609901635196843,-0.00016609901635196843,0.017225557790464422,-3.9199316414382666e-05
16.566520650813516,0.007038110153994662,0.00015392525605652978,-0.00015392525605652978,0.01659717219191701,-3.711252992500083e-05
16.81677096370463,0.006728560322839687,0.00014280666881021775,-0.00014280666881021775,0.01599589437529124,-3.51773285882986e-05
